Time Recorded   			Activity
2024-12-08 12:38:47			New Order of id 1004 was added to the list.
2024-12-08 12:46:24			Order of id 1004 was updated.
2024-12-08 12:56:24			Staff with Id : 1000 and name : ASAD TAUQEER - MANAGER logged in successfully.
2024-12-08 12:58:06			Order of id 1004 was updated.
2024-12-08 13:01:29			Order of id 1004 was marked completed.
2024-12-08 13:19:57			Staff with Id : 1000 and name : ASAD TAUQEER - MANAGER logged in successfully.
2024-12-08 13:20:32			Order of id 1000 was updated.
2024-12-08 14:12:27			Staff with Id : 1000 and name : ASAD TAUQEER - MANAGER logged in successfully.
2024-12-08 14:12:59			New Order of id 1000 was added to the list.
attendance
2024-11-23 13:16:43			Staff : SARAH LEE -  Marked Exit.
2024-11-23 13:16:28			Staff : SARAH LEE - STAFF SUPERVISOR Marked Entry.
2024-11-23 13:15:59			Staff : OMAR FAROOQ -  Marked Exit.
2024-11-23 13:15:47			Staff : OMAR FAROOQ - INVENTORY CLERK Marked Entry.
2024-11-23 13:15:26			Staff : FAISAL IQBAL -  Marked Exit.
2024-11-23 13:15:19			Staff : FAISAL IQBAL - SHIPPING CLERK Marked Entry.
2024-11-23 13:02:44			Staff : FAISAL IQBAL -  Marked Exit.
2024-11-23 13:02:31			Staff : FAISAL IQBAL - SHIPPING CLERK Marked Entry.
2024-11-23 13:01:42			Staff : SARAH GARCIA -  Marked Exit.
2024-11-23 13:01:21			Staff : SARAH GARCIA - STAFF SUPERVISOR Marked Entry.
2024-11-23 13:00:00			Staff : AYESHA KHAN -  Marked Exit.
2024-11-23 12:59:36			Staff : AYESHA KHAN - INVENTORY CLERK Marked Entry.
2024-11-23 12:56:36			Staff : AYESHA KHAN -  Marked Exit.
2024-11-23 12:55:28			Staff : AYESHA KHAN - INVENTORY CLERK Marked Entry.
2024-11-23 12:52:15			Staff : AYESHA KHAN -  Marked Exit.
2024-11-23 12:51:13			Staff : AYESHA KHAN - INVENTORY CLERK Marked Entry.
2024-11-23 12:33:07			Staff : AYESHA KHAN -  Marked Exit.
2024-11-23 12:32:34			Staff : AYESHA KHAN - INVENTORY CLERK Marked Entry.
2024-07-13 01:42:12			Staff : SARAH LEE -  Marked Exit.
2024-07-13 01:42:04			Staff : SARAH LEE - STAFF SUPERVISOR Marked Entry.
2024-07-13 01:41:30			Staff : FAISAL IQBAL -  Marked Exit.
2024-07-13 01:41:19			Staff : FAISAL IQBAL - SHIPPING CLERK Marked Entry.
2024-07-13 01:40:55			Staff : AYESHA KHAN -  Marked Exit.
2024-07-13 01:40:31			Staff : AYESHA KHAN - INVENTORY CLERK Marked Entry.
2024-07-13 01:38:00			Staff : AYESHA KHAN -  Marked Exit.
2024-07-13 01:37:28			Staff : AYESHA KHAN - INVENTORY CLERK Marked Entry.
2024-07-13 01:34:43			Staff : AYESHA KHAN -  Marked Exit.
2024-07-13 01:34:35			Staff : AYESHA KHAN - INVENTORY CLERK Marked Entry.
2024-07-07 23:21:33			Staff : AYESHA KHAN -  Marked Exit.
2024-07-07 23:21:27			Staff : AYESHA KHAN - INVENTORY CLERK Marked Entry.
2024-07-07 23:21:07			Staff : FAISAL IQBAL -  Marked Exit.
2024-07-07 23:20:58			Staff : FAISAL IQBAL - SHIPPING CLERK Marked Entry.
2024-06-21 16:34:00			Staff : AYESHA KHAN -  Marked Exit.
2024-06-21 16:33:33			Staff : AYESHA KHAN - INVENTORY CLERK Marked Entry.
2024-06-16 16:51:56			Staff : SARAH LEE -  Marked Exit.
2024-06-16 16:51:47			Staff : SARAH LEE - STAFF SUPERVISOR Marked Entry.
2024-06-16 16:51:18			Staff : TALHA KHAN - SECURITY GUARD Marked Exit.
2024-06-16 16:51:13			Staff : TALHA KHAN - SECURITY GUARD Marked Entry.
interactions
2024-11-29 16:17:59			Item IKEA WORKING TABLE restocked by supplier: IKEA
